unitid,institution name,year,Level and degree/certificate-seeking status of student,Grand total,American Indian or Alaska Native total,Asian total,Black or African American total,Hispanic or Latino total,Native Hawaiian or Other Pacific Islander total,White total,Two or more races total,Race/ethnicity unknown total,U.S. Nonresident total,IDX_E12
145637,University of Illinois Urbana-Champaign,2023,All students total,62417,31,11085,3245,6570,32,23147,1793,2810,13704,-2
145637,University of Illinois Urbana-Champaign,2023,"All students, Undergraduate total",36970,14,7987,2136,4874,12,14096,1302,872,5677,-2
145637,University of Illinois Urbana-Champaign,2023,"All students, Undergraduate, Degree/certificate-seeking total",34749,11,7699,2069,4793,12,13648,1258,398,4861,-2
145637,University of Illinois Urbana-Champaign,2023,"All students, Undergraduate, Degree/certificate-seeking, First-time",8029,2,1799,458,1073,2,2949,270,128,1348,-2
145637,University of Illinois Urbana-Champaign,2023,"All students, Undergraduate, Other degree/certificate-seeking",26720,9,5900,1611,3720,10,10699,988,270,3513,-2
145637,University of Illinois Urbana-Champaign,2023,"All students, Undergraduate, Non-degree/certificate-seeking",2221,3,288,67,81,0,448,44,474,816,-2
145637,University of Illinois Urbana-Champaign,2023,"All students, Graduate",25447,17,3098,1109,1696,20,9051,491,1938,8027,-2
145637,University of Illinois Urbana-Champaign,2023,"All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",1689,1,174,107,229,2,817,62,26,271,-2
145637,University of Illinois Urbana-Champaign,2023,"All students, Undergraduate, Other degree/certificate-seeking, Continuing",25031,8,5726,1504,3491,8,9882,926,244,3242,-2
145637,University of Illinois Urbana-Champaign,2023,Full-time students total,48420,14,8812,2477,5562,18,17660,1491,830,11556,-2
145637,University of Illinois Urbana-Champaign,2023,"Full-time students, Undergraduate total",34479,11,7469,2005,4718,12,13344,1222,399,5299,-2
145637,University of Illinois Urbana-Champaign,2023,"Full-time students, Undergraduate, Degree/certificate-seeking total",33795,11,7469,2005,4716,12,13340,1222,387,4633,-2
145637,University of Illinois Urbana-Champaign,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, First-time",7981,2,1792,449,1069,2,2931,265,128,1343,-2
145637,University of Illinois Urbana-Champaign,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking",25814,9,5677,1556,3647,10,10409,957,259,3290,-2
145637,University of Illinois Urbana-Champaign,2023,"Full-time students, Undergraduate, Non-degree/certificate-seeking",684,0,0,0,2,0,4,0,12,666,-2
145637,University of Illinois Urbana-Champaign,2023,"Full-time students, Graduate",13941,3,1343,472,844,6,4316,269,431,6257,-2
145637,University of Illinois Urbana-Champaign,2023,"Full-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",1505,1,164,100,219,2,774,58,23,164,-2
145637,University of Illinois Urbana-Champaign,2023,"Full-time students, Undergraduate, Other degree/certificate-seeking, Continuing",24309,8,5513,1456,3428,8,9635,899,236,3126,-2
145637,University of Illinois Urbana-Champaign,2023,Part-time students total,13997,17,2273,768,1008,14,5487,302,1980,2148,-2
